2001:4998:24:604::3000                  # fr.video.search.yahoo.com
2600:9000:280a:7c00:18:9ee4:d800:93a1   # app.jubnaadserve.com
2600:9000:280a:9e00:18:9ee4:d800:93a1   # app.jubnaadserve.com
2600:9000:280a:aa00:18:9ee4:d800:93a1   # app.jubnaadserve.com
2600:9000:280a:da00:18:9ee4:d800:93a1   # app.jubnaadserve.com
2600:9000:280a:ee00:18:9ee4:d800:93a1   # app.jubnaadserve.com
2600:9000:280d:1200:1e:3056:9b00:93a1   # wzrkt.com
2600:9000:280d:200:8:9682:a780:93a1     # files.jubnaadserve.com
2600:9000:280d:2800:1e:3056:9b00:93a1   # wzrkt.com
2600:9000:280d:2a00:1e:3056:9b00:93a1   # wzrkt.com
2600:9000:280d:5200:1e:3056:9b00:93a1   # wzrkt.com
2600:9000:280d:6c00:8:9682:a780:93a1    # files.jubnaadserve.com
2600:9000:280d:8600:8:9682:a780:93a1    # files.jubnaadserve.com
2600:9000:280d:8c00:8:9682:a780:93a1    # files.jubnaadserve.com
2600:9000:280d:9400:8:9682:a780:93a1    # files.jubnaadserve.com
2600:9000:280d:9e00:8:9682:a780:93a1    # files.jubnaadserve.com
2600:9000:280d:a400:1e:3056:9b00:93a1   # wzrkt.com
2600:9000:280d:a400:8:9682:a780:93a1    # files.jubnaadserve.com
2600:9000:280d:a600:1e:3056:9b00:93a1   # wzrkt.com
2600:9000:280d:a800:8:9682:a780:93a1    # files.jubnaadserve.com
2600:9000:280d:e800:1e:3056:9b00:93a1   # wzrkt.com
2600:9000:280d:f000:1e:3056:9b00:93a1   # wzrkt.com
2604:a880:4:1d0::f:3000                 # track.hereisthemoment.com
2606:4700:10::6816:1048                 # www.almrsal.com
2606:4700:10::6816:1148                 # www.almrsal.com
2606:4700:10::6816:2e77                 # edarabia.com
2606:4700:10::6816:2f77                 # edarabia.com
2606:4700:10::6816:477                  # apkpure.com
2606:4700:10::6816:577                  # apkpure.com
2606:4700:10::ac43:1d3c                 # www.almrsal.com
2606:4700:10::ac43:87f                  # apkpure.com
2606:4700:10::ac43:e96                  # edarabia.com
2606:4700:20::681a:129                  # speakol.com
2606:4700:20::681a:1d8                  # apkfab.com
2606:4700:20::681a:29                   # speakol.com
2606:4700:20::681a:296                  # mqalaty.net
2606:4700:20::681a:396                  # mqalaty.net
2606:4700:20::681a:4bc                  # www.eqrae.com
2606:4700:20::681a:5bc                  # www.eqrae.com
2606:4700:20::681a:6f7                  # www.annajah.net
2606:4700:20::681a:7f7                  # www.annajah.net
2606:4700:20::681a:8b6                  # mhtwyat.com
2606:4700:20::681a:8f0                  # apkdownloadforwindows.com
2606:4700:20::681a:9b6                  # mhtwyat.com
2606:4700:20::681a:9f0                  # apkdownloadforwindows.com
2606:4700:20::681a:cd7                  # cdn.altibbi.com
2606:4700:20::681a:cf5                  # www.almowaten.net
2606:4700:20::681a:d8                   # apkfab.com
2606:4700:20::681a:dd7                  # altibbi.com
2606:4700:20::681a:df5                  # www.almowaten.net
2606:4700:20::ac43:4420                 # www.annajah.net
2606:4700:20::ac43:44db                 # speakol.com
2606:4700:20::ac43:44dc                 # apkdownloadforwindows.com
2606:4700:20::ac43:4566                 # www.almowaten.net
2606:4700:20::ac43:4775                 # apkfab.com
2606:4700:20::ac43:479d                 # mhtwyat.com
2606:4700:20::ac43:47a6                 # mqalaty.net
2606:4700:20::ac43:4acb                 # www.eqrae.com
2606:4700:20::ac43:4bf6                 # cdn.altibbi.com
2606:4700:3030::6815:26f6               # mqaall.com
2606:4700:3030::6815:37aa               # gmk.one
2606:4700:3030::6815:3a92               # wordss.cc
2606:4700:3030::6815:3c1a               # a3.a3erf.com
2606:4700:3030::6815:476a               # mawdoo3.io
2606:4700:3030::ac43:9dc8               # rewity.com
2606:4700:3030::ac43:a590               # poster1.net
2606:4700:3030::ac43:ce52               # rasd.al-wafa.net
2606:4700:3030::ac43:d3f9               # rasaayel.com
2606:4700:3031::6815:1c7d               # sad-images.net
2606:4700:3031::6815:3154               # iimgz.com
2606:4700:3031::6815:350e               # hobe.cc
2606:4700:3031::6815:42bd               # ccute.cc
2606:4700:3031::6815:432a               # rasaayel.com
2606:4700:3031::6815:e23                # www.molhm.net
2606:4700:3031::ac43:85c4               # wordsfn.com
2606:4700:3031::ac43:922d               # sad-images.net
2606:4700:3031::ac43:aa1e               # news.noujoum-sat.com
2606:4700:3031::ac43:c0ab               # arwordshub.com
2606:4700:3031::ac43:c7db               # twice.ma
2606:4700:3031::ac43:d37b               # www.kuntent.com
2606:4700:3032::6815:1293               # nog.nogomi.ru
2606:4700:3032::6815:1693               # www.newphotodownload.info
2606:4700:3032::6815:2988               # eid-milad.com
2606:4700:3032::ac43:9066               # mawdoo3.io
2606:4700:3032::ac43:a060               # wordss.cc
2606:4700:3032::ac43:c6f3               # thaqfny.com
2606:4700:3032::ac43:cf75               # hobe.cc
2606:4700:3032::ac43:da2a               # mawdoo3.com
2606:4700:3033::6815:2ac6               # poster1.net
2606:4700:3033::6815:301f               # upload.3dlat.com
2606:4700:3033::6815:3ba1               # ar.e-leath.net
2606:4700:3033::6815:44d6               # thaqfny.com
2606:4700:3033::6815:e31                # rewity.com
2606:4700:3033::ac43:82b9               # bdr130.net
2606:4700:3033::ac43:9380               # eid-milad.com
2606:4700:3033::ac43:9f97               # rmze.cc
2606:4700:3033::ac43:b06c               # upload.3dlat.com
2606:4700:3033::ac43:b1c8               # daroid.com
2606:4700:3033::ac43:b592               # mqlatk.com
2606:4700:3034::6815:1265               # mqlatk.com
2606:4700:3034::6815:1945               # wordsfn.com
2606:4700:3034::6815:289c               # cutee.net
2606:4700:3034::6815:31d8               # raialyoum.com
2606:4700:3034::6815:3d98               # www.kuntent.com
2606:4700:3034::6815:439                # 3ibarat.org
2606:4700:3034::6815:5b63               # wikiarab.com
2606:4700:3034::ac43:a06f               # iimgz.com
2606:4700:3034::ac43:a377               # ccute.cc
2606:4700:3034::ac43:b8f9               # 3ezh.net
2606:4700:3035::6815:1f91               # daroid.com
2606:4700:3035::6815:340c               # fieda.net
2606:4700:3035::6815:4c61               # arwordshub.com
2606:4700:3035::6815:558d               # picturess.cc
2606:4700:3035::6815:5a69               # twice.ma
2606:4700:3035::6815:f93                # rasd.al-wafa.net
2606:4700:3035::ac43:8d26               # mqaall.com
2606:4700:3035::ac43:abc4               # gmk.one
2606:4700:3035::ac43:b658               # nog.nogomi.ru
2606:4700:3035::ac43:c204               # meekss.com
2606:4700:3035::ac43:c29e               # raialyoum.com
2606:4700:3035::ac43:cd55               # www.newphotodownload.info
2606:4700:3035::ac43:ce71               # picturess.cc
2606:4700:3036::6815:1c05               # news.noujoum-sat.com
2606:4700:3036::6815:2c08               # www.belarabyapps.com
2606:4700:3036::6815:3187               # albasirah.net
2606:4700:3036::6815:5c11               # 3ezh.net
2606:4700:3036::ac43:9a07               # 3ibarat.org
2606:4700:3036::ac43:c08f               # www.belarabyapps.com
2606:4700:3037::6815:1107               # mawdoo3.com
2606:4700:3037::6815:383                # bdr130.net
2606:4700:3037::6815:4274               # rmze.cc
2606:4700:3037::6815:c5b                # meekss.com
2606:4700:3037::ac43:9a66               # cutee.net
2606:4700:3037::ac43:9db0               # www.molhm.net
2606:4700:3037::ac43:a37f               # albasirah.net
2606:4700:3037::ac43:b4e9               # ar.e-leath.net
2606:4700:3037::ac43:bef5               # a3.a3erf.com
2606:4700:3037::ac43:c1eb               # fieda.net
2606:4700:3037::ac43:d6ef               # wikiarab.com
2606:4700:3038::6815:ea36               # alwatanvoice.com
2606:4700:3038::6815:ea37               # alwatanvoice.com
2606:4700:4400::6812:216b               # www.alarabiya.net.cdn.cloudflare.net
2606:4700:4400::ac40:9a95               # www.alarabiya.net.cdn.cloudflare.net
2606:4700::6812:466                     # modanisa.com
2606:4700::6812:566                     # modanisa.com
2606:4700::6812:caa                     # www.9apps.com.cdn.cloudflare.net
2606:4700::6812:daa                     # www.9apps.com.cdn.cloudflare.net
2607:f8b0:4007:80a::2016                # i.ytimg.com
2607:f8b0:4007:80e::2001                # 1.bp.blogspot.com
2607:f8b0:4007:817::2016                # i.ytimg.com
2607:f8b0:4007:818::2009                # blogger.com
2607:f8b0:4007:818::2013                # www.masrawe-b.com
2607:f8b0:4007:818::2016                # i.ytimg.com
2607:f8b0:4007:819::2001                # aiqtabas-hd.blogspot.com
2607:f8b0:4007:819::2016                # i.ytimg.com
2620:0:890::100                         # yadati.web.app
2620:149:a21:f000::201                  # captive.g.aaplimg.com
2620:149:a21:f000::205                  # captive.g.aaplimg.com
2a02:6b8::184                           # avatars.mds.yandex.net
2a02:6b8::1:119                         # mc.yandex.ru
2a02:6b8::1be                           # ads.adfox.ru
2a02:6b8:a::a                           # yandex.ru
2a02:fe80:1010::20:10                   # www.cairo24.com
2a03:2880:f003:c0e:face:b00c:0:3        # lookaside.fbsbx.com
2a03:90c0:9994::9994                    # res.al-hiwar.com.cy-isp.com
2a04:4e42:87::159                       # pbs.twimg.com
